Date,Price,Open,High,Low,,
01-09-2026,"1,703.20","1,723.40","1,725.80","1,701.00",,
01-08-2026,"1,723.40","1,755.40","1,755.40","1,717.00",,
01-07-2026,"1,755.40","1,751.20","1,759.00","1,747.50",,
01-06-2026,"1,752.00","1,777.00","1,777.00","1,745.50",,
01-05-2026,"1,771.60","1,751.90","1,778.90","1,750.20",,
01-02-2026,"1,748.80","1,740.10","1,751.90","1,737.10",,
01-01-2026,"1,740.40","1,737.90","1,744.90","1,730.10",,
12/31/2025,"1,737.70","1,737.00","1,741.80","1,725.00",,
12/30/2025,"1,732.10","1,725.20","1,745.00","1,715.00",,
12/29/2025,"1,725.20","1,735.90","1,738.40","1,723.00",,
12/26/2025,"1,735.30","1,744.20","1,752.00","1,725.00",,
12/24/2025,"1,739.40","1,755.00","1,760.10","1,735.00",,
12/23/2025,"1,754.20","1,794.90","1,804.80","1,746.00",,
12/22/2025,"1,782.50","1,760.00","1,789.60","1,760.00",,
12/19/2025,"1,751.50","1,763.90","1,770.00","1,747.00",,
12/18/2025,"1,754.90","1,758.80","1,761.90","1,750.90",,
12/17/2025,"1,758.90","1,772.00","1,774.90","1,751.00",,
12/16/2025,"1,771.40","1,783.00","1,784.70","1,767.50",,
12/15/2025,"1,777.60","1,774.00","1,789.90","1,770.10",,
12-12-2025,"1,771.70","1,784.90","1,796.20","1,770.00",,
12-11-2025,"1,778.90","1,781.00","1,788.80","1,772.10",,
12-10-2025,"1,782.30","1,787.90","1,801.00","1,779.00",,
12-09-2025,"1,785.00","1,796.00","1,796.40","1,770.40",,
12-08-2025,"1,796.00","1,798.20","1,812.80","1,788.40",,
12-05-2025,"1,798.20","1,815.60","1,825.00","1,795.10",,
12-04-2025,"1,815.20","1,838.00","1,843.90","1,808.00",,
12-03-2025,"1,840.20","1,852.00","1,865.60","1,835.60",,
12-02-2025,"1,851.90","1,850.50","1,860.00","1,844.20",,
12-01-2025,"1,850.50","1,868.00","1,868.00","1,847.70",,
11/28/2025,"1,850.60","1,864.20","1,872.00","1,847.00",,
11/27/2025,"1,870.20","1,888.00","1,888.00","1,864.00",,
11/26/2025,"1,884.50","1,869.10","1,888.00","1,856.30",,
11/25/2025,"1,869.10","1,902.00","1,909.40","1,858.40",,
11/24/2025,"1,913.70","1,830.90","1,987.00","1,807.20",,
11/21/2025,"1,830.10","1,855.00","1,855.00","1,824.30",,
11/20/2025,"1,851.40","1,846.90","1,865.00","1,842.50",,
11/19/2025,"1,836.90","1,838.90","1,847.00","1,834.00",,
11/18/2025,"1,838.70","1,846.70","1,852.00","1,825.00",,
11/17/2025,"1,846.70","1,843.40","1,858.00","1,841.20",,
11/14/2025,"1,840.30","1,844.00","1,851.60","1,836.10",,
11/13/2025,"1,844.80","1,855.00","1,861.00","1,840.00",,
11-12-2025,"1,852.90","1,848.00","1,863.80","1,846.40",,
11-11-2025,"1,845.30","1,854.00","1,854.00","1,837.90",,
11-10-2025,"1,845.00","1,835.00","1,852.20","1,832.50",,
11-07-2025,"1,840.50","1,828.00","1,853.20","1,818.90",,
11-06-2025,"1,832.40","1,835.60","1,842.00","1,827.10",,
11-04-2025,"1,832.60","1,870.40","1,879.70","1,825.00",,
11-03-2025,"1,870.50","1,920.00","1,920.00","1,850.00",,
10/31/2025,"1,881.50","1,868.20","1,915.10","1,856.50",,
10/30/2025,"1,859.40","1,880.80","1,887.90","1,844.00",,
10/29/2025,"1,879.30","1,862.40","1,888.00","1,856.10",,
10/28/2025,"1,860.70","1,862.70","1,868.60","1,848.00",,
10/27/2025,"1,862.70","1,850.00","1,868.00","1,838.70",,
10/24/2025,"1,850.10","1,860.70","1,861.70","1,841.50",,
10/23/2025,"1,855.70","1,855.00","1,860.00","1,836.00",,
10/21/2025,"1,848.90","1,835.40","1,856.10","1,835.40",,
10/20/2025,"1,830.90","1,844.40","1,847.70","1,822.80",,
10/17/2025,"1,832.70","1,859.40","1,867.50","1,817.70",,
10/16/2025,"1,860.10","1,858.00","1,872.50","1,853.10",,
10/15/2025,"1,857.40","1,860.00","1,872.10","1,853.00",,
10/14/2025,"1,862.50","1,870.50","1,877.70","1,854.10",,
10/13/2025,"1,870.10","1,874.80","1,880.00","1,862.20",,
10-10-2025,"1,885.60","1,874.60","1,891.20","1,862.10",,
10-09-2025,"1,874.80","1,860.00","1,881.20","1,853.60",,
10-08-2025,"1,865.60","1,855.00","1,869.80","1,842.30",,
10-07-2025,"1,857.60","1,838.80","1,860.00","1,835.60",,
10-06-2025,"1,833.40","1,850.00","1,865.30","1,828.90",,
10-03-2025,"1,849.10","1,828.00","1,853.00","1,828.00",,
10-01-2025,"1,828.00","1,829.80","1,849.10","1,824.30",,
09/30/2025,"1,824.70","1,813.80","1,837.00","1,812.10",,
09/29/2025,"1,807.70","1,824.50","1,841.70","1,802.40",,
09/26/2025,"1,824.40","1,848.80","1,857.10","1,816.00",,
09/25/2025,"1,851.60","1,860.00","1,871.00","1,847.00",,
09/24/2025,"1,860.90","1,874.40","1,884.00","1,858.90",,
09/23/2025,"1,878.60","1,896.80","1,910.00","1,876.00",,
09/22/2025,"1,882.10","1,879.10","1,916.70","1,870.00",,
09/19/2025,"1,879.10","1,875.50","1,888.00","1,860.00",,
09/18/2025,"1,858.10","1,860.00","1,867.50","1,839.70",,
09/17/2025,"1,856.00","1,874.80","1,881.70","1,848.10",,
09/16/2025,"1,866.00","1,865.10","1,879.80","1,860.00",,
09/15/2025,"1,860.80","1,853.60","1,865.80","1,847.00",,
09-12-2025,"1,850.40","1,847.00","1,858.00","1,847.00",,
09-11-2025,"1,844.30","1,849.80","1,859.70","1,835.00",,
09-10-2025,"1,848.80","1,850.90","1,858.00","1,843.50",,
09-09-2025,"1,850.20","1,841.90","1,855.00","1,841.90",,
09-08-2025,"1,838.30","1,835.10","1,849.70","1,830.00",,
09-05-2025,"1,829.00","1,845.70","1,846.10","1,818.80",,
09-04-2025,"1,840.40","1,879.90","1,881.10","1,830.00",,
09-03-2025,"1,843.10","1,826.20","1,849.00","1,818.40",,
09-02-2025,"1,822.00","1,820.00","1,836.80","1,813.00",,
09-01-2025,"1,818.40","1,810.00","1,821.00","1,805.10",,
08/29/2025,"1,801.80","1,800.90","1,817.70","1,797.00",,
08/28/2025,"1,801.00","1,800.50","1,813.50","1,781.10",,
08/26/2025,"1,798.50","1,807.70","1,817.90","1,795.70",,
08/25/2025,"1,807.70","1,819.00","1,828.30","1,805.00",,
08/22/2025,"1,821.10","1,853.80","1,860.70","1,818.20",,
08/21/2025,"1,849.90","1,873.50","1,873.50","1,847.00",,
08/20/2025,"1,863.10","1,870.00","1,871.00","1,848.00",,
08/19/2025,"1,859.50","1,848.00","1,871.50","1,840.50",,
08/18/2025,"1,843.50","1,829.00","1,852.80","1,811.00",,
08/14/2025,"1,782.70","1,789.90","1,797.40","1,780.70",,
08/13/2025,"1,786.30","1,791.90","1,803.00","1,780.60",,
08-12-2025,"1,787.70","1,790.00","1,800.70","1,785.20",,
08-11-2025,"1,786.20","1,794.00","1,796.90","1,781.00",,
08-08-2025,"1,788.20","1,819.00","1,823.90","1,780.60",,
08-07-2025,"1,817.80","1,830.40","1,830.40","1,790.00",,
08-06-2025,"1,830.40","1,807.20","1,838.80","1,798.60",,
08-05-2025,"1,801.80","1,795.00","1,807.40","1,782.00",,
