Date,Price,Open,High,Low,,
01-09-2026,254.2,250,255.55,249.35,,
01-08-2026,251.8,255.4,258.6,250.05,,
01-07-2026,256.25,251.6,256.9,250.6,,
01-06-2026,247.55,245.05,248.75,243.25,,
01-05-2026,244.6,242.35,246.05,241.5,,
01-02-2026,241.1,238.95,241.55,237.25,,
12/30/2025,239.15,236.15,239.15,235.9,,
12/29/2025,237.05,239.15,239.15,236.45,,
12/23/2025,237.8,236.5,238,235.7,,
12/22/2025,236.65,236.95,239.95,235.6,,
12/19/2025,236,235.1,238.1,233.8,,
12/18/2025,235.8,233.85,236.25,232.5,,
12/17/2025,232.65,238.55,239,232.4,,
12/16/2025,237.5,235.85,239.45,235.6,,
12/15/2025,239.15,238.6,239.75,237.05,,
12-12-2025,237.05,240,241.45,236.65,,
12-11-2025,238.85,232.75,240.05,230.75,,
12-10-2025,231.6,233,234.3,230.2,,
12-09-2025,234.05,233.85,234.55,232.5,,
12-08-2025,234.35,233.95,235.1,232.45,,
12-05-2025,233.45,230.65,235,230.2,,
12-04-2025,230.2,230.75,233.45,229.55,,
12-03-2025,228.75,226.6,229.6,226.5,,
12-02-2025,227.3,226.05,229.65,225.8,,
12-01-2025,226.2,227.25,227.35,223.45,,
11/28/2025,228.3,227.2,229.1,227.05,,
11/27/2025,227.55,227.75,228.45,226.85,,
11/26/2025,228.1,228.8,229,225.65,,
11/25/2025,227,222.95,227.85,222.25,,
11/24/2025,223,221.45,224.15,220.5,,
11/21/2025,219.15,217.45,220.25,216.65,,
11/20/2025,221.1,220.85,224.1,219.5,,
11/19/2025,218.6,217.3,220.55,216.05,,
11/18/2025,218.15,218.65,221.45,216.55,,
11/17/2025,223,229.85,230.15,221.75,,
11/14/2025,230.35,227.7,230.85,225.25,,
11/13/2025,227,243.55,244.2,227,,
11-12-2025,250.4,249.55,252.65,248.7,,
11-11-2025,247.4,248.45,248.55,244.45,,
11-10-2025,245.7,243.2,248,242.2,,
11-07-2025,237.3,243.75,243.95,233.5,,
11-06-2025,241.6,243.5,246.9,240.7,,
11-05-2025,245,240.05,245.55,238.35,,
11-04-2025,244.2,242.5,246,241.25,,
11-03-2025,247.2,244.55,247.5,244.55,,
10/31/2025,245.55,247.25,247.7,245.05,,
10/30/2025,247,246.6,248.35,244.65,,
10/29/2025,245.75,245.55,247.85,245.3,,
10/28/2025,246.25,245.15,247.45,244.45,,
10/27/2025,246.8,244,247.2,243.95,,
10/24/2025,243.6,241.1,243.7,240.5,,
10/23/2025,239.65,240,240.5,238.3,,
10/22/2025,242,242.25,243.65,239.75,,
10/21/2025,241.9,244.55,244.65,239.25,,
10/20/2025,243.2,240.3,244.25,239.55,,
10/17/2025,237.9,239.5,240.5,236.5,,
10/16/2025,244.25,242.6,244.25,238.1,,
10/15/2025,240.65,239.45,241.25,238,,
10/14/2025,238.35,240.45,240.6,234.7,,
10/13/2025,246.1,244.45,246.8,243.2,,
10-10-2025,242.3,246.45,248.05,242.25,,
10-09-2025,246.45,247,250.15,246.2,,
