,Price,Open,High,Low,,
01-09-2026,49.2,50.82,51.09,48.87,,
01-08-2026,50.93,52.9,53.41,50.65,,
01-07-2026,52.9,53.3,53.69,52.67,,
01-06-2026,53.45,53.7,53.99,52.87,,
01-05-2026,53.67,54.4,54.54,53.3,,
01-02-2026,54.28,52.59,54.4,52.44,,
01-01-2026,52.47,52.71,52.98,52.05,,
12/31/2025,52.67,52,53.16,51.91,,
12/30/2025,52,52.73,52.8,51.81,,
12/29/2025,52.73,53.44,53.85,52.61,,
12/26/2025,53.2,53.3,54.13,53.1,,
12/24/2025,53.3,53.59,55.05,53.16,,
12/23/2025,53.62,53.51,53.84,53.32,,
12/22/2025,53.51,52.9,53.74,52.8,,
12/19/2025,52.59,51.8,52.75,51.54,,
12/18/2025,51.78,51.91,52,51.32,,
12/17/2025,51.94,52.6,52.65,51.8,,
12/16/2025,52.67,53.14,53.14,52.25,,
12/15/2025,53.14,52.99,53.35,52.55,,
12-12-2025,53.02,52.5,53.1,52.5,,
12-11-2025,52.04,51.7,52.44,51.32,,
12-10-2025,51.54,52.8,53.2,51.35,,
12-09-2025,52.55,51.99,52.77,51,,
12-08-2025,51.78,52.01,53,51.57,,
12-05-2025,51.74,51.13,52.15,50.75,,
12-04-2025,50.85,52.65,52.84,50.6,,
12-03-2025,52.59,53.43,53.65,52.22,,
12-02-2025,53.42,53.75,54.1,53.21,,
12-01-2025,53.72,54.3,54.74,53.52,,
11/28/2025,54.01,55,55,53.75,,
11/27/2025,54.93,55.7,55.9,54.81,,
11/26/2025,55.58,54.2,55.69,54.14,,
11/25/2025,54.19,54.5,54.95,54.11,,
11/24/2025,54.61,55.1,55.54,54.4,,
11/21/2025,55.1,56.67,56.72,55,,
11/20/2025,56.7,56.6,57.15,56.52,,
11/19/2025,56.53,56.95,57.08,56.3,,
11/18/2025,56.9,57.88,57.88,56.7,,
11/17/2025,57.7,57.8,58.16,57.5,,
11/14/2025,57.68,57.5,58.29,57.03,,
11/13/2025,57.58,58.29,58.34,57.41,,
11-12-2025,58.48,58.2,58.95,57.67,,
11-11-2025,57.82,57.6,58.05,56.86,,
11-10-2025,57.43,57.9,58.2,57.01,,
11-07-2025,57.38,59.5,59.5,56.93,,
11-06-2025,59.61,61.5,61.5,59.46,,
11-04-2025,59.99,59.59,61.37,58.83,,
11-03-2025,59.24,59.47,59.88,58.53,,
10/31/2025,59.3,58.78,60.18,58.66,,
10/30/2025,58.51,58.5,59.33,57.92,,
10/29/2025,58.19,56.44,58.78,55.98,,
10/28/2025,56.22,53.71,56.47,53.6,,
10/27/2025,53.71,54.1,54.16,53.63,,
10/24/2025,53.82,54.68,55.18,53.65,,
10/23/2025,54.53,54.54,55.25,54.22,,
10/21/2025,54.18,53.6,54.34,53.4,,
10/20/2025,53.09,53.19,53.69,52.92,,
10/17/2025,52.92,53.61,53.95,52,,
10/16/2025,53.61,53.93,54.2,53.41,,
10/15/2025,53.73,54.21,54.6,53.58,,
10/14/2025,53.95,54.65,54.7,53.62,,
10/13/2025,54.35,54.29,54.48,53.72,,
10-10-2025,54.31,53.3,54.75,53.23,,
10-09-2025,53.17,52.8,53.53,52.55,,
10-08-2025,52.77,54.13,54.14,52.66,,
10-07-2025,54.01,54.35,54.8,53.95,,
10-06-2025,54.11,55,55.17,53.92,,
10-03-2025,54.46,55.44,55.48,53.85,,
10-01-2025,55.18,55.05,55.36,54.6,,
09/30/2025,55.05,55.38,55.46,54.41,,
09/29/2025,55.28,55.7,56.36,55.15,,
09/26/2025,55.28,56.96,57.23,55.15,,
09/25/2025,56.64,57.5,58.2,56.45,,
09/24/2025,57.5,58.78,58.88,57.36,,
09/23/2025,58.75,60,60.13,58.63,,
09/22/2025,59.93,60.4,60.97,59.67,,
09/19/2025,60.4,59.25,60.61,59.06,,
09/18/2025,59.08,59.41,59.66,58.75,,
09/17/2025,59.29,60,60.08,58.75,,
09/16/2025,58.98,58.3,59.65,58.29,,
09/15/2025,58.07,57.39,58.45,57.2,,
09-12-2025,57.11,57.26,57.42,56.73,,
