,Price,Open,High,Low,,
01-09-2026,"2,544.60","2,587.10","2,609.00","2,525.00",,
01-08-2026,"2,612.30","2,675.80","2,708.70","2,603.80",,
01-07-2026,"2,673.10","2,644.00","2,679.70","2,607.00",,
01-06-2026,"2,634.40","2,710.00","2,727.50","2,597.10",,
01-05-2026,"2,714.30","2,864.90","2,864.90","2,706.00",,
01-02-2026,"2,866.30","2,960.00","2,964.90","2,847.80",,
01-01-2026,"2,955.30","2,970.00","2,994.30","2,948.00",,
12/31/2025,"2,968.10","2,982.00","3,032.00","2,942.30",,
12/30/2025,"2,980.30","2,972.00","3,000.00","2,926.10",,
12/29/2025,"2,980.40","3,043.00","3,043.00","2,970.00",,
12/26/2025,"3,046.70","3,075.00","3,075.00","3,035.00",,
12/24/2025,"3,080.30","3,096.10","3,114.80","3,066.10",,
12/23/2025,"3,096.60","3,063.00","3,114.90","3,020.50",,
12/22/2025,"3,061.80","3,074.90","3,086.00","3,046.20",,
12/19/2025,"3,025.60","2,926.90","3,076.00","2,912.10",,
12/18/2025,"2,878.50","2,872.10","2,889.50","2,840.00",,
12/17/2025,"2,878.80","2,915.60","2,940.50","2,865.00",,
12/16/2025,"2,919.00","2,964.90","2,964.90","2,907.00",,
12/15/2025,"2,965.00","2,968.00","2,985.00","2,937.00",,
12-12-2025,"2,980.00","2,909.70","2,990.80","2,901.00",,
12-11-2025,"2,895.40","2,900.00","2,919.00","2,855.10",,
12-10-2025,"2,887.30","2,920.00","2,926.00","2,853.30",,
12-09-2025,"2,909.50","2,884.40","2,919.00","2,825.00",,
12-08-2025,"2,884.10","2,864.20","2,934.00","2,838.00",,
12-05-2025,"2,871.40","2,990.00","2,990.00","2,853.80",,
12-04-2025,"2,984.30","3,110.00","3,118.00","2,965.00",,
12-03-2025,"3,108.60","3,155.10","3,162.40","3,102.50",,
12-02-2025,"3,154.10","3,175.00","3,206.90","3,136.70",,
12-01-2025,"3,179.90","3,200.00","3,229.40","3,169.20",,
11/28/2025,"3,172.50","3,222.90","3,230.00","3,148.00",,
11/27/2025,"3,217.10","3,297.30","3,332.70","3,200.10",,
11/26/2025,"3,286.20","3,280.00","3,306.20","3,260.00",,
11/25/2025,"3,260.60","3,270.00","3,275.00","3,225.60",,
11/24/2025,"3,257.40","3,185.70","3,324.90","3,087.70",,
11/21/2025,"3,185.70","3,220.00","3,233.40","3,180.00",,
11/20/2025,"3,246.80","3,200.00","3,279.00","3,200.00",,
11/19/2025,"3,174.40","3,098.10","3,199.00","3,075.10",,
11/18/2025,"3,281.90","3,300.00","3,349.00","3,266.00",,
11/17/2025,"3,301.70","3,356.90","3,359.80","3,294.10",,
11/14/2025,"3,348.70","3,336.00","3,359.90","3,324.00",,
11/13/2025,"3,335.50","3,361.70","3,405.00","3,323.00",,
11-12-2025,"3,357.10","3,341.00","3,387.00","3,340.00",,
11-11-2025,"3,318.60","3,322.00","3,335.00","3,285.00",,
11-10-2025,"3,315.10","3,295.00","3,360.00","3,292.60",,
11-07-2025,"3,276.20","3,350.00","3,362.60","3,261.90",,
11-06-2025,"3,369.00","3,375.00","3,412.80","3,336.60",,
11-04-2025,"3,369.60","3,421.00","3,428.90","3,363.10",,
11-03-2025,"3,430.00","3,423.00","3,475.10","3,412.30",,
10/31/2025,"3,427.40","3,440.00","3,470.00","3,418.20",,
10/30/2025,"3,432.20","3,474.00","3,515.00","3,426.00",,
10/29/2025,"3,477.60","3,489.90","3,495.90","3,441.10",,
10/28/2025,"3,486.40","3,589.80","3,590.00","3,480.00",,
10/27/2025,"3,585.50","3,550.00","3,643.00","3,537.00",,
10/24/2025,"3,529.50","3,569.00","3,610.00","3,510.10",,
10/23/2025,"3,567.50","3,545.00","3,623.00","3,522.00",,
10/21/2025,"3,514.30","3,516.00","3,531.00","3,505.00",,
10/20/2025,"3,506.60","3,575.00","3,583.40","3,490.00",,
10/17/2025,"3,535.30","3,650.00","3,718.80","3,520.10",,
10/16/2025,"3,627.40","3,587.00","3,639.00","3,526.00",,
10/15/2025,"3,518.40","3,510.00","3,609.00","3,455.50",,
10/14/2025,"3,484.50","3,475.60","3,572.80","3,470.00",,
10/13/2025,"3,404.60","3,339.90","3,426.30","3,335.10",,
10-10-2025,"3,333.40","3,350.00","3,386.40","3,318.00",,
10-09-2025,"3,344.70","3,328.00","3,356.40","3,270.00",,
10-08-2025,"3,323.40","3,400.00","3,400.00","3,313.00",,
10-07-2025,"3,402.80","3,441.50","3,451.50","3,370.00",,
10-06-2025,"3,441.50","3,440.00","3,464.00","3,402.00",,
10-03-2025,"3,438.90","3,364.00","3,469.00","3,359.00",,
10-01-2025,"3,332.00","3,344.00","3,360.00","3,298.00",,
09/30/2025,"3,328.40","3,259.00","3,348.00","3,195.00",,
09/29/2025,"3,280.80","3,225.00","3,303.00","3,142.70",,
09/26/2025,"3,207.60","3,375.00","3,385.00","3,182.00",,
09/25/2025,"3,445.10","3,506.00","3,509.60","3,436.10",,
09/24/2025,"3,489.90","3,440.60","3,579.00","3,440.00",,
09/23/2025,"3,435.10","3,464.00","3,520.00","3,420.00",,
09/22/2025,"3,454.40","3,400.40","3,508.00","3,400.40",,
09/19/2025,"3,526.30","3,510.00","3,544.90","3,470.20",,
09/18/2025,"3,500.40","3,614.00","3,645.00","3,490.00",,
09/17/2025,"3,603.90","3,585.00","3,618.90","3,565.00",,
09/16/2025,"3,579.00","3,601.00","3,625.00","3,535.00",,
09/15/2025,"3,581.10","3,640.00","3,728.00","3,555.50",,
09-12-2025,"3,634.20","3,765.90","3,865.00","3,612.80",,
09-11-2025,"3,739.80","3,470.00","3,777.00","3,439.00",,
09-10-2025,"3,477.80","3,270.00","3,503.50","3,267.40",,
09-09-2025,"3,259.10","3,189.90","3,265.00","3,151.20",,
09-08-2025,"3,177.50","3,228.00","3,248.00","3,171.00",,
09-05-2025,"3,219.50","3,205.00","3,239.00","3,178.00",,
09-04-2025,"3,201.10","3,254.00","3,265.00","3,186.10",,
09-03-2025,"3,224.00","3,234.00","3,248.40","3,175.00",,
09-02-2025,"3,199.10","3,228.00","3,269.40","3,162.00",,
09-01-2025,"3,200.50","3,447.90","3,447.90","3,190.00",,
08/29/2025,"3,402.00","3,415.40","3,496.80","3,352.00",,
08/28/2025,"3,417.30","3,298.00","3,447.70","3,275.00",,
08/26/2025,"3,265.30","3,149.00","3,329.80","3,115.00",,
08/25/2025,"3,151.10","3,190.00","3,194.60","3,083.00",,
08/22/2025,"3,188.60","3,223.40","3,237.40","3,171.00",,
08/21/2025,"3,223.40","3,165.00","3,299.00","3,137.30",,
08/20/2025,"3,151.50","3,044.90","3,168.00","3,025.10",,
08/19/2025,"3,037.50","3,000.00","3,085.00","3,000.00",,
08/18/2025,"2,984.90","2,949.00","2,995.50","2,936.00",,
08/14/2025,"2,882.80","2,940.00","2,964.00","2,830.50",,
08/13/2025,"2,941.90","3,055.00","3,065.60","2,922.00",,
08-12-2025,"3,084.80","3,117.70","3,190.90","3,075.00",,
08-11-2025,"3,112.10","3,078.00","3,126.00","3,055.00",,
08-08-2025,"3,061.00","3,180.00","3,190.00","3,052.10",,
08-07-2025,"3,162.90","3,180.00","3,206.70","3,102.10",,
08-06-2025,"3,218.40","3,060.90","3,247.30","3,059.20",,
08-05-2025,"3,056.10","3,092.00","3,136.80","3,036.10",,
08-04-2025,"3,088.60","3,119.50","3,138.00","3,069.30",,
08-01-2025,"3,104.00","3,024.90","3,163.90","3,010.00",,
07/31/2025,"2,992.40","3,050.00","3,099.80","2,955.00",,
07/30/2025,"3,143.50","3,184.00","3,242.40","3,122.20",,
07/29/2025,"3,172.60","3,188.00","3,291.00","3,158.00",,
07/28/2025,"3,111.80","3,250.00","3,250.80","3,075.00",,
07/25/2025,"3,198.20","3,242.90","3,285.00","3,171.10",,
