,Price,Open,High,Low,,
01-09-2026,216.7,214,217.95,214,,
01-08-2026,215.15,221.1,221.1,214.5,,
01-07-2026,220,217.15,222.45,217.1,,
01-06-2026,217.75,222.5,223,217.05,,
01-05-2026,222.5,220,223,219,,
01-02-2026,223.65,227.85,227.85,221.05,,
01-01-2026,223.85,222.15,224.85,218.9,,
12/31/2025,222.15,226.8,227.95,221,,
12/30/2025,226.8,223.55,226.95,223.55,,
12/29/2025,225.95,222.45,227,222.45,,
12/26/2025,222.45,224.7,231,221.05,,
12/24/2025,224.7,221.3,225.8,221.3,,
12/23/2025,221.25,225.25,225.25,220.15,,
12/22/2025,223.35,228,228,223,,
12/19/2025,223.85,222,227,221.05,,
12/18/2025,221.15,221.7,224.9,219,,
12/17/2025,221.6,231,231,220.5,,
12/16/2025,229.35,228,231.5,227.45,,
12/15/2025,227.45,233.7,233.7,226.55,,
12-12-2025,231.4,228,235,226,,
12-11-2025,224.45,220,226.95,220,,
12-10-2025,221.1,226,226.05,220.15,,
12-09-2025,223.15,223.5,224.6,214.95,,
12-08-2025,223.3,235.9,235.9,215,,
12-05-2025,235.9,234.3,241.95,234,,
12-04-2025,234.5,252.3,252.3,231,,
12-03-2025,247.35,251.9,253.8,244.05,,
12-02-2025,245.7,252,252,244,,
12-01-2025,250.65,253.85,253.9,237.05,,
11/28/2025,243.85,251,256.35,237.1,,
11/27/2025,250.1,252.5,257.35,242.1,,
11/26/2025,237.35,216,237.35,216,,
11/25/2025,215.8,223.2,223.2,214,,
11/24/2025,225.45,227.05,230,224,,
11/21/2025,233.3,230,237.05,230,,
11/20/2025,231.45,230.15,234.85,229,,
11/19/2025,235.55,241,241,234,,
11/18/2025,240.85,246.95,253.5,240.6,,
11/17/2025,246.95,254,254,242,,
11/14/2025,254.55,253.05,259,249,,
11/13/2025,261.75,260,267,256,,
11-12-2025,255.65,250.05,256.4,250.05,,
11-11-2025,251.8,254.5,258,246.25,,
11-10-2025,254.5,253.15,257.25,250.7,,
11-07-2025,250.65,258.3,259.2,243,,
11-06-2025,256.35,258,266,250,,
11-04-2025,259.15,265.05,268,257.8,,
11-03-2025,270.15,273.6,274.9,270,,
10/31/2025,273.65,276.25,276.25,271,,
10/30/2025,276,276.8,278.7,276,,
10/29/2025,276.3,276.25,279.95,276,,
10/28/2025,277.65,280,280,277,,
10/27/2025,280.3,284,284,277.95,,
10/24/2025,279.5,278.05,282.9,278.05,,
10/23/2025,280.3,281,282.9,278.3,,
10/21/2025,279.1,280.65,284,278,,
10/20/2025,280.65,286.85,289.8,278,,
10/17/2025,283.3,294,294,282.2,,
10/16/2025,285.6,281.05,287.85,281.05,,
10/15/2025,282.45,282.55,288.2,280,,
10/14/2025,285.4,287,291.9,282.55,,
10/13/2025,287.8,287.95,294,283.9,,
10-10-2025,283.05,286.5,286.95,275.55,,
10-09-2025,284.85,279,286.95,275,,
10-08-2025,279,283,286,278,,
10-07-2025,284.75,285,290,283.7,,
10-06-2025,287.8,290,293,285.6,,
10-03-2025,292.2,293.95,293.95,285.05,,
10-01-2025,289.15,284.35,292.95,284,,
09/30/2025,283.4,290,297.7,278.5,,
09/29/2025,293.15,299,299.8,290,,
09/26/2025,292,299.4,302,290,,
09/25/2025,299.4,300.2,308.6,298.1,,
09/24/2025,305.4,305.9,315,303.45,,
09/23/2025,304.2,309.9,311.95,302.25,,
09/22/2025,308.7,296,314,290.7,,
